Regions Code,Regions,Highest level of qualification (7 categories) Code,Highest level of qualification (7 categories),Sex (2 categories) Code,Sex (2 categories),Observation
E12000007,London,3,"Level 3 qualifications",2,Male,461099
E12000007,London,4,"Level 4 qualifications or above",1,Female,1756247
E12000007,London,4,"Level 4 qualifications or above",2,Male,1560582
E12000007,London,5,"Other",1,Female,194486
E12000007,London,5,"Other",2,Male,250758
E12000008,South East,-8,Does not apply,1,Female,838913
E12000008,South East,-8,Does not apply,2,Male,884572
E12000008,South East,0,No qualifications,1,Female,636142
E12000008,South East,0,No qualifications,2,Male,526077
E12000008,South East,1,"Level 1 and entry level qualifications",1,Female,397684
E12000008,South East,1,"Level 1 and entry level qualifications",2,Male,341438
E12000008,South East,2,"Level 2 qualifications",1,Female,580421
E12000008,South East,2,"Level 2 qualifications",2,Male,466379
E12000008,South East,3,"Level 3 qualifications",1,Female,655077
E12000008,South East,3,"Level 3 qualifications",2,Male,658475
E12000008,South East,4,"Level 4 qualifications or above",1,Female,1407959
E12000008,South East,4,"Level 4 qualifications or above",2,Male,1294089
E12000008,South East,5,"Other",1,Female,222629
E12000008,South East,5,"Other",2,Male,368208
E12000009,South West,-8,Does not apply,1,Female,470995
E12000009,South West,-8,Does not apply,2,Male,494351
E12000009,South West,0,No qualifications,1,Female,408551
E12000009,South West,0,No qualifications,2,Male,332632
E12000009,South West,1,"Level 1 and entry level qualifications",1,Female,248827
E12000009,South West,1,"Level 1 and entry level qualifications",2,Male,217143
E12000009,South West,2,"Level 2 qualifications",1,Female,380583
E12000009,South West,2,"Level 2 qualifications",2,Male,297697
E12000009,South West,3,"Level 3 qualifications",1,Female,434930
E12000009,South West,3,"Level 3 qualifications",2,Male,441677
E12000009,South West,4,"Level 4 qualifications or above",1,Female,825716
E12000009,South West,4,"Level 4 qualifications or above",2,Male,741058
E12000009,South West,5,"Other",1,Female,141949
E12000009,South West,5,"Other",2,Male,265077
W92000004,Wales,-8,Does not apply,1,Female,267291
W92000004,Wales,-8,Does not apply,2,Male,280787
W92000004,Wales,0,No qualifications,1,Female,272251
W92000004,Wales,0,No qualifications,2,Male,237431
W92000004,Wales,1,"Level 1 and entry level qualifications",1,Female,118892
W92000004,Wales,1,"Level 1 and entry level qualifications",2,Male,104133
W92000004,Wales,2,"Level 2 qualifications",1,Female,206134
W92000004,Wales,2,"Level 2 qualifications",2,Male,161226
W92000004,Wales,3,"Level 3 qualifications",1,Female,215912
W92000004,Wales,3,"Level 3 qualifications",2,Male,224740
W92000004,Wales,4,"Level 4 qualifications or above",1,Female,436136
W92000004,Wales,4,"Level 4 qualifications or above",2,Male,370637
W92000004,Wales,5,"Other",1,Female,69874
W92000004,Wales,5,"Other",2,Male,142050
