RM107-2021-3-filtered-2024-11-30T12-43-39Z
Regions Code,Regions,Occupation Code,Occupation,Sex Code,Sex,Observation
E12000005,West Midlands,-8,Does not apply,2,Male,1536366
E12000005,West Midlands,1,"1. Managers, directors and senior officials",1,Female,106225
E12000005,West Midlands,1,"1. Managers, directors and senior officials",2,Male,197842
E12000005,West Midlands,2,2. Professional occupations,1,Female,256621
E12000005,West Midlands,2,2. Professional occupations,2,Male,227960
E12000005,West Midlands,3,3. Associate professional and technical occupations,1,Female,156336
E12000005,West Midlands,3,3. Associate professional and technical occupations,2,Male,155181
E12000005,West Midlands,4,4. Administrative and secretarial occupations,1,Female,191033
E12000005,West Midlands,4,4. Administrative and secretarial occupations,2,Male,56267
E12000005,West Midlands,5,5. Skilled trades occupations,1,Female,28736
E12000005,West Midlands,5,5. Skilled trades occupations,2,Male,254752
E12000005,West Midlands,6,"6. Caring, leisure and other service occupations",1,Female,205540
E12000005,West Midlands,6,"6. Caring, leisure and other service occupations",2,Male,46685
E12000005,West Midlands,7,7. Sales and customer service occupations,1,Female,128028
E12000005,West Midlands,7,7. Sales and customer service occupations,2,Male,78214
E12000005,West Midlands,8,"8. Process, plant and machine operatives",1,Female,29697
E12000005,West Midlands,8,"8. Process, plant and machine operatives",2,Male,196036
E12000005,West Midlands,9,9. Elementary occupations,1,Female,145475
E12000005,West Midlands,9,9. Elementary occupations,2,Male,178261
E12000006,East of England,-8,Does not apply,1,Female,1787089
E12000006,East of England,-8,Does not apply,2,Male,1519344
E12000006,East of England,1,"1. Managers, directors and senior officials",1,Female,144141
E12000006,East of England,1,"1. Managers, directors and senior officials",2,Male,269772
E12000006,East of England,2,2. Professional occupations,1,Female,305290
E12000006,East of England,2,2. Professional occupations,2,Male,288073
E12000006,East of England,3,3. Associate professional and technical occupations,1,Female,199242
E12000006,East of England,3,3. Associate professional and technical occupations,2,Male,203778
E12000006,East of England,4,4. Administrative and secretarial occupations,1,Female,234534
E12000006,East of England,4,4. Administrative and secretarial occupations,2,Male,62776
E12000006,East of England,5,5. Skilled trades occupations,1,Female,31822
E12000006,East of England,5,5. Skilled trades occupations,2,Male,291800
E12000006,East of England,6,"6. Caring, leisure and other service occupations",1,Female,223253
E12000006,East of England,6,"6. Caring, leisure and other service occupations",2,Male,51549
E12000006,East of England,7,7. Sales and customer service occupations,1,Female,134479
E12000006,East of England,7,7. Sales and customer service occupations,2,Male,78423
E12000006,East of England,8,"8. Process, plant and machine operatives",1,Female,27786
E12000006,East of England,8,"8. Process, plant and machine operatives",2,Male,181458
E12000006,East of England,9,9. Elementary occupations,1,Female,140461
E12000006,East of England,9,9. Elementary occupations,2,Male,160004
E12000007,London,-8,Does not apply,1,Female,2421691
E12000007,London,-8,Does not apply,2,Male,2017960
E12000007,London,1,"1. Managers, directors and senior officials",1,Female,244920
E12000007,London,1,"1. Managers, directors and senior officials",2,Male,389485
E12000007,London,2,2. Professional occupations,1,Female,576673
E12000007,London,2,2. Professional occupations,2,Male,546726
E12000007,London,3,3. Associate professional and technical occupations,1,Female,347419
E12000007,London,3,3. Associate professional and technical occupations,2,Male,321457
E12000007,London,4,4. Administrative and secretarial occupations,1,Female,268978
E12000007,London,4,4. Administrative and secretarial occupations,2,Male,101357
E12000007,London,5,5. Skilled trades occupations,1,Female,40502
E12000007,London,5,5. Skilled trades occupations,2,Male,287540
E12000007,London,6,"6. Caring, leisure and other service occupations",1,Female,259374
E12000007,London,6,"6. Caring, leisure and other service occupations",2,Male,76719
E12000007,London,7,7. Sales and customer service occupations,1,Female,155186
E12000007,London,7,7. Sales and customer service occupations,2,Male,121674
E12000007,London,8,"8. Process, plant and machine operatives",1,Female,22685
E12000007,London,8,"8. Process, plant and machine operatives",2,Male,196666
E12000007,London,9,9. Elementary occupations,1,Female,194195
E12000007,London,9,9. Elementary occupations,2,Male,208523
E12000008,South East,-8,Does not apply,1,Female,2598113
E12000008,South East,-8,Does not apply,2,Male,2208173
E12000008,South East,1,"1. Managers, directors and senior officials",1,Female,236560
E12000008,South East,1,"1. Managers, directors and senior officials",2,Male,428863
E12000008,South East,2,2. Professional occupations,1,Female,485233
E12000008,South East,2,2. Professional occupations,2,Male,463684
E12000008,South East,3,3. Associate professional and technical occupations,1,Female,313968
E12000008,South East,3,3. Associate professional and technical occupations,2,Male,323584
E12000008,South East,4,4. Administrative and secretarial occupations,1,Female,327190
E12000008,South East,4,4. Administrative and secretarial occupations,2,Male,90965
E12000008,South East,5,5. Skilled trades occupations,1,Female,46374
E12000008,South East,5,5. Skilled trades occupations,2,Male,400943
